0.05,6.49,6.4,6.42,6.45,6.4,6.39,6.39,6.5,6.55,6.61,6.58,6.58,6.59,6.58,6.58,Coffee Machine
1.32,6.49,6.44,6.38,6.44,6.38,6.4,6.45,6.49,6.59,6.63,6.62,6.52,6.62,6.62,6.52,Coffee Machine
2.58,6.45,6.47,6.4,6.38,6.38,6.45,6.47,6.54,6.59,6.63,6.6,6.51,6.66,6.6,6.51,Coffee Machine
3.84,6.4,6.45,6.43,6.43,6.38,6.46,6.4,6.55,6.59,6.62,6.55,6.57,6.64,6.55,6.57,Coffee Machine
5.13,6.54,6.39,6.45,6.48,6.38,6.43,6.4,6.51,6.56,6.58,6.54,6.55,6.57,6.54,6.55,Coffee Machine
6.41,6.82,6.4,6.44,6.41,6.39,6.4,6.43,6.48,6.51,6.6,6.58,6.5,6.58,6.58,6.5,Coffee Machine
7.61,6.45,6.43,6.41,6.39,6.39,6.38,6.44,6.48,6.5,6.64,6.59,6.54,6.61,6.59,6.54,Coffee Machine
8.87,6.4,6.45,6.4,6.44,6.4,6.38,6.45,6.49,6.52,6.63,6.6,6.58,6.62,6.6,6.58,Coffee Machine
10.13,6.44,6.43,6.41,6.45,6.42,6.39,6.46,6.51,6.56,6.55,6.56,6.57,6.61,6.56,6.57,Coffee Machine
11.39,6.46,6.39,6.46,6.4,6.43,6.39,6.43,6.52,6.51,6.62,6.52,6.53,6.47,6.52,6.53,Coffee Machine
12.65,6.38,6.37,6.41,6.38,6.44,6.41,6.41,6.53,6.48,6.59,6.54,6.54,6.58,6.54,6.54,Coffee Machine
13.91,6.45,6.37,6.38,6.41,6.45,6.41,6.38,6.49,6.54,6.65,6.56,6.59,6.6,6.56,6.59,Coffee Machine
15.16,6.45,6.37,6.41,6.44,6.45,6.42,6.38,6.45,6.55,6.66,6.58,6.51,6.63,6.58,6.51,Coffee Machine
16.43,6.39,6.38,6.46,6.46,6.45,6.46,6.42,6.5,6.51,6.59,6.59,6.53,6.66,6.59,6.53,Coffee Machine
17.69,6.41,6.41,6.42,6.43,6.44,6.46,6.45,6.46,6.5,6.57,6.58,6.56,6.6,6.58,6.56,Coffee Machine
18.95,6.45,6.42,6.38,6.42,6.45,6.4,6.46,6.49,6.49,6.63,6.57,6.51,6.54,6.57,6.51,Coffee Machine
20.2,6.46,6.44,6.4,6.42,6.45,6.41,6.42,6.45,6.48,6.61,6.52,6.56,6.57,6.52,6.56,Coffee Machine
21.46,6.44,6.43,6.44,6.41,6.45,6.47,6.39,6.49,6.46,6.59,6.49,6.58,6.59,6.49,6.58,Coffee Machine
22.72,6.41,6.43,6.47,6.4,6.43,6.42,6.43,6.51,6.45,6.56,6.49,6.5,6.61,6.49,6.5,Coffee Machine
23.98,6.4,6.43,6.44,6.4,6.42,6.39,6.46,6.47,6.45,6.59,6.51,6.51,6.59,6.51,6.51,Coffee Machine
25.24,6.38,6.41,6.4,6.38,6.41,6.44,6.42,6.45,6.49,6.65,6.53,6.56,6.65,6.53,6.56,Coffee Machine
26.5,6.38,6.4,6.38,6.37,6.4,6.46,6.38,6.48,6.53,6.64,6.55,6.57,6.66,6.55,6.57,Coffee Machine
27.76,6.38,6.38,6.42,6.38,6.4,6.41,6.39,6.51,6.53,6.58,6.56,6.52,6.59,6.56,6.52,Coffee Machine
29.02,6.42,6.39,6.45,6.38,6.4,6.38,6.43,6.5,6.49,6.65,6.57,6.5,6.57,6.57,6.5,Coffee Machine
30.28,6.46,6.41,6.45,6.39,6.4,6.43,6.44,6.46,6.48,6.57,6.56,6.57,6.63,6.56,6.57,Coffee Machine
31.54,6.44,6.45,6.43,6.41,6.42,6.46,6.46,6.52,6.48,6.61,6.57,6.59,6.61,6.57,6.59,Coffee Machine
32.8,6.39,6.43,6.4,6.43,6.42,6.45,6.46,6.52,6.52,6.63,6.57,6.51,6.59,6.57,6.51,Coffee Machine
34.05,6.45,6.4,6.39,6.45,6.44,6.44,6.45,6.45,6.53,6.54,6.57,6.52,6.56,6.57,6.52,Coffee Machine
35.32,6.42,6.38,6.47,6.46,6.45,6.42,6.42,6.49,6.54,6.59,6.55,6.58,6.65,6.55,6.58,Coffee Machine
36.57,6.38,6.38,6.45,6.43,6.44,6.39,6.4,6.53,6.49,6.65,6.52,6.52,6.66,6.52,6.52,Coffee Machine
37.84,6.46,6.37,6.39,6.4,6.39,6.38,6.38,6.46,6.45,6.64,6.53,6.52,6.64,6.53,6.52,Coffee Machine
39.09,6.45,6.38,6.45,6.39,6.38,6.39,6.41,6.49,6.45,6.58,6.58,6.58,6.59,6.58,6.58,Coffee Machine
40.35,6.41,6.4,6.43,6.41,6.42,6.4,6.45,6.52,6.45,6.65,6.55,6.55,6.57,6.55,6.55,Coffee Machine
41.61,6.39,6.4,6.41,6.45,6.46,6.43,6.45,6.49,6.49,6.57,6.52,6.48,6.57,6.52,6.48,Coffee Machine
42.87,6.4,6.41,6.47,6.46,6.42,6.45,6.4,6.47,6.52,6.61,6.58,6.51,6.63,6.58,6.51,Coffee Machine
44.13,6.45,6.43,6.39,6.39,6.39,6.46,6.41,6.48,6.52,6.63,6.52,6.51,6.63,6.52,6.51,Coffee Machine
45.39,6.47,6.44,6.42,6.41,6.42,6.44,6.47,6.52,6.49,6.54,6.59,6.54,6.55,6.59,6.54,Coffee Machine
46.65,6.42,6.44,6.44,6.47,6.45,6.4,6.42,6.53,6.46,6.56,6.5,6.55,6.59,6.5,6.55,Coffee Machine
47.91,6.39,6.44,6.4,6.4,6.41,6.39,6.38,6.52,6.47,6.59,6.58,6.53,6.6,6.58,6.53,Coffee Machine
49.16,6.38,6.45,6.41,6.4,6.38,6.38,6.44,6.53,6.5,6.57,6.5,6.53,6.65,6.5,6.53,Coffee Machine
50.42,6.43,6.42,6.47,6.46,6.41,6.42,6.45,6.52,6.53,6.54,6.56,6.53,6.64,6.56,6.53,Coffee Machine
51.69,6.47,6.39,6.46,6.43,6.46,6.45,6.45,6.49,6.51,6.48,6.58,6.47,6.59,6.58,6.63,Coffee Machine
52.95,6.45,6.41,6.4,6.37,6.41,6.45,6.48,6.47,6.46,6.49,6.53,6.58,6.57,6.53,6.63,Coffee Machine
54.2,6.42,6.47,6.41,6.4,6.4,6.41,6.49,6.46,6.44,6.54,6.49,6.6,6.58,6.49,6.62,Coffee Machine
55.46,6.39,6.4,6.45,6.43,6.46,6.4,6.45,6.46,6.52,6.47,6.5,6.63,6.62,6.5,6.58,Coffee Machine
56.72,6.42,6.41,6.4,6.45,6.39,6.46,6.49,6.5,6.51,6.51,6.52,6.66,6.64,6.52,6.6,Coffee Machine
57.98,6.45,6.46,6.39,6.45,6.44,6.45,6.47,6.51,6.47,6.51,6.5,6.6,6.66,6.5,6.64,Coffee Machine
59.24,6.45,6.39,6.46,6.43,6.42,6.37,6.46,6.47,6.48,6.48,6.53,6.54,6.63,6.53,6.63,Coffee Machine
60.5,6.42,6.43,6.42,6.41,6.41,6.45,6.42,6.43,6.5,6.53,6.55,6.57,6.58,6.55,6.55,Coffee Machine
61.76,6.4,6.48,6.38,6.42,6.46,6.43,6.45,6.44,6.54,6.48,6.57,6.59,6.57,6.57,6.62,Coffee Machine
